text_form,num_type,gender,number,case,suffix,prefix,ending,root
двадцати,kolich,-,-,rod,-,-,и,двадцат
двадцатью,kolich,-,-,tvor,-,-,ю,двадцать
двадцатый,poryad,m,s,im,-,-,ый,двадцат
двадцатого,poryad,-,s,rod,-,-,ого,двадцат
двадцатому,poryad,-,s,dat,-,-,ому,двадцат
двадцатым,poryad,-,-,tvor,-,-,ым,двадцат
двадцатом,poryad,-,s,predl,-,-,ом,двадцат
двадцатая,poryad,f,s,im,-,-,ая,двадцат
двадцатой,poryad,f,s,rod,-,-,ой,двадцат
двадцатую,poryad,f,s,vin,-,-,ую,двадцат
двадцатое,poryad,s,s,im,-,-,ое,двадцат
двадцатые,poryad,-,pl,im,-,-,ые,двадцат
двадцатых,poryad,-,pl,rod,-,-,ых,двадцат
двадцатыми,poryad,-,pl,tvor,-,-,ыми,двадцат
тридцать,kolich,-,-,im,-,-,-,тридцать
тридцати,kolich,-,-,rod,-,-,и,тридцат
тридцатью,kolich,-,-,tvor,-,-,ю,тридцать
тридцатый,poryad,m,s,im,-,-,ый,тридцат
тридцатого,poryad,-,s,rod,-,-,ого,тридцат
тридцатому,poryad,-,s,dat,-,-,ому,тридцат
тридцатым,poryad,-,-,tvor,-,-,ым,тридцат
тридцатом,poryad,-,s,predl,-,-,ом,тридцат
тридцатая,poryad,f,s,im,-,-,ая,тридцат
тридцатой,poryad,f,s,rod,-,-,ой,тридцат
тридцатую,poryad,f,s,vin,-,-,ую,тридцат
тридцатое,poryad,s,s,im,-,-,ое,тридцат
тридцатые,poryad,-,pl,im,-,-,ые,тридцат
тридцатых,poryad,-,pl,rod,-,-,ых,тридцат
тридцатыми,poryad,-,pl,tvor,-,-,ыми,тридцат
сорок,kolich,-,-,im,-,-,-,сорок
сорока,kolich,-,-,rod,-,-,а,сорок
сороковой,poryad,-,s,im,ов,-,ой,сорок
сорокового,poryad,-,s,rod,ов,-,ого,сорок
сороковому,poryad,-,s,dat,ов,-,ому,сорок
сороковым,poryad,-,-,tvor,ов,-,ым,сорок
сороковом,poryad,-,s,predl,ов,-,ом,сорок
сороковая,poryad,f,s,im,ов,-,ая,сорок
сороковую,poryad,f,s,vin,ов,-,ую,сорок
сороковое,poryad,s,s,im,ов,-,ое,сорок
сороковые,poryad,-,pl,im,ов,-,ые,сорок
сороковых,poryad,-,pl,rod,ов,-,ых,сорок
сороковыми,poryad,-,pl,tvor,ов,-,ыми,сорок
пятьдесят,kolich,-,-,im,-,-,-,пятьдесят
пятидесяти,kolich,-,-,rod,-,-,и,пятидесят
пятьюдесятью,kolich,-,-,tvor,-,-,ю,пятьюдесять
пятидесятый,poryad,m,s,im,-,-,ый,пятидесят
пятидесятого,poryad,-,s,rod,-,-,ого,пятидесят
пятидесятому,poryad,-,s,dat,-,-,ому,пятидесят
пятидесятым,poryad,-,-,tvor,-,-,ым,пятидесят
пятидесятом,poryad,-,s,predl,-,-,ом,пятидесят
пятидесятая,poryad,f,s,im,-,-,ая,пятидесят
пятидесятой,poryad,f,s,rod,-,-,ой,пятидесят
пятидесятую,poryad,f,s,vin,-,-,ую,пятидесят
пятидесятое,poryad,s,s,im,-,-,ое,пятидесят
пятидесятые,poryad,-,pl,im,-,-,ые,пятидесят
пятидесятых,poryad,-,pl,rod,-,-,ых,пятидесят
пятидесятыми,poryad,-,pl,tvor,-,-,ыми,пятидесят
шестьдесят,kolich,-,-,im,-,-,-,шестьдесят
шестидесяти,kolich,-,-,rod,-,-,и,шестидесят
шестьюдесятью,kolich,-,-,tvor,-,-,ю,шестьюдесять
шестидесятый,poryad,m,s,im,-,-,ый,шестидесят
шестидесятого,poryad,-,s,rod,-,-,ого,шестидесят
шестидесятому,poryad,-,s,dat,-,-,ому,шестидесят
шестидесятым,poryad,-,-,tvor,-,-,ым,шестидесят
шестидесятом,poryad,-,s,predl,-,-,ом,шестидесят
шестидесятая,poryad,f,s,im,-,-,ая,шестидесят
шестидесятой,poryad,f,s,rod,-,-,ой,шестидесят
шестидесятую,poryad,f,s,vin,-,-,ую,шестидесят
шестидесятое,poryad,s,s,im,-,-,ое,шестидесят
шестидесятые,poryad,-,pl,im,-,-,ые,шестидесят
шестидесятых,poryad,-,pl,rod,-,-,ых,шестидесят
шестидесятыми,poryad,-,pl,tvor,-,-,ыми,шестидесят
семьдесят,kolich,-,-,im,-,-,-,семьдесят
семидесяти,kolich,-,-,rod,-,-,и,семидесят
семьюдесятью,kolich,-,-,tvor,-,-,ю,семьюдесять
семидесятый,poryad,m,s,im,-,-,ый,семидесят
семидесятого,poryad,-,s,rod,-,-,ого,семидесят
семидесятому,poryad,-,s,dat,-,-,ому,семидесят
семидесятым,poryad,-,-,tvor,-,-,ым,семидесят
семидесятом,poryad,-,s,predl,-,-,ом,семидесят
семидесятая,poryad,f,s,im,-,-,ая,семидесят
семидесятой,poryad,f,s,rod,-,-,ой,семидесят
семидесятую,poryad,f,s,vin,-,-,ую,семидесят
семидесятое,poryad,s,s,im,-,-,ое,семидесят
семидесятые,poryad,-,pl,im,-,-,ые,семидесят
семидесятых,poryad,-,pl,rod,-,-,ых,семидесят
семидесятыми,poryad,-,pl,tvor,-,-,ыми,семидесят
восемьдесят,kolich,-,-,im,-,-,-,восемьдесят
восьмидесяти,kolich,-,-,rod,-,-,и,восьмидесят
восьмьюдесятью,kolich,-,-,tvor,-,-,ю,восьмьюдесять
восьмидесятый,poryad,m,s,im,-,-,ый,восьмидесят
восьмидесятого,poryad,-,s,rod,-,-,ого,восьмидесят
восьмидесятому,poryad,-,s,dat,-,-,ому,восьмидесят
восьмидесятым,poryad,-,-,tvor,-,-,ым,восьмидесят
восьмидесятом,poryad,-,s,predl,-,-,ом,восьмидесят
восьмидесятая,poryad,f,s,im,-,-,ая,восьмидесят
восьмидесятой,poryad,f,s,rod,-,-,ой,восьмидесят
восьмидесятую,poryad,f,s,vin,-,-,ую,восьмидесят
восьмидесятое,poryad,s,s,im,-,-,ое,восьмидесят
восьмидесятые,poryad,-,pl,im,-,-,ые,восьмидесят
восьмидесятых,poryad,-,pl,rod,-,-,ых,восьмидесят
восьмидесятыми,poryad,-,pl,tvor,-,-,ыми,восьмидесят
девяносто,kolich,-,-,im,-,-,о,девяност
девяноста,kolich,-,-,rod,-,-,а,девяност
девяностый,poryad,m,s,im,-,-,ый,девяност
девяностого,poryad,-,s,rod,-,-,ого,девяност
девяностому,poryad,-,s,dat,-,-,ому,девяност
девяностым,poryad,-,-,tvor,-,-,ым,девяност
девяностом,poryad,-,s,predl,-,-,ом,девяност
девяностая,poryad,f,s,im,-,-,ая,девяност
девяностой,poryad,f,s,rod,-,-,ой,девяност
девяностую,poryad,f,s,vin,-,-,ую,девяност
девяностое,poryad,s,s,im,-,-,ое,девяност
девяностые,poryad,-,pl,im,-,-,ые,девяност
девяностых,poryad,-,pl,rod,-,-,ых,девяност
девяностыми,poryad,-,pl,tvor,-,-,ыми,девяност
сто,kolich,-,-,im,-,-,о,ст
ста,kolich,-,-,rod,-,-,а,ст
сот,kolich,-,pl,rod,-,-,-,сот
стам,kolich,-,pl,dat,-,-,ам,ст
стами,kolich,-,-,tvor,-,-,ами,ст
стах,kolich,-,-,predl,-,-,ах,ст
сотый,poryad,m,s,im,-,-,ый,сот
сотого,poryad,-,s,rod,-,-,ого,сот
сотому,poryad,-,s,dat,-,-,ому,сот
сотым,poryad,-,-,tvor,-,-,ым,сот
сотом,poryad,-,s,predl,-,-,ом,сот
сотая,poryad,f,s,im,-,-,ая,сот
сотой,poryad,f,s,rod,-,-,ой,сот
сотую,poryad,f,s,vin,-,-,ую,сот
сотое,poryad,s,s,im,-,-,ое,сот
сотые,poryad,-,pl,im,-,-,ые,сот
сотых,poryad,-,pl,rod,-,-,ых,сот
сотыми,poryad,-,pl,tvor,-,-,ыми,сот
сотня,kolich,f,s,im,н,-,я,сот
сотни,kolich,-,-,rod,н,-,и,сот
сотне,kolich,f,s,dat,н,-,е,сот
сотней,kolich,f,s,tvor,н,-,ей,сот
сотен,kolich,-,pl,rod,ен,-,-,сот
сотням,kolich,-,pl,dat,н,-,ям,сот
сотнями,kolich,-,pl,tvor,н,-,ями,сот
сотнях,kolich,-,pl,predl,н,-,ях,сот
двести,kolich,-,-,im,-,-,и,двест
двухсот,kolich,-,-,rod,-,-,-,двухсот
двумстам,kolich,-,-,dat,-,-,ам,двумст
двумястами,kolich,-,-,tvor,-,-,ами,двумст
двухстах,kolich,-,-,predl,-,-,ах,двумст
двухсотый,poryad,m,s,im,-,-,ый,двухсот
двухсотого,poryad,-,s,rod,-,-,ого,двухсот
двухсотому,poryad,-,s,dat,-,-,ому,двухсот
двухсотым,poryad,-,-,tvor,-,-,ым,двухсот
двухсотом,poryad,-,s,predl,-,-,ом,двухсот
двухсотая,poryad,f,s,im,-,-,ая,двухсот
двухсотой,poryad,f,s,rod,-,-,ой,двухсот
двухсотую,poryad,f,s,vin,-,-,ую,двухсот
двухсотое,poryad,s,s,im,-,-,ое,двухсот
двухсотые,poryad,-,pl,im,-,-,ые,двухсот
двухсотых,poryad,-,pl,rod,-,-,ых,двухсот
двухсотыми,poryad,-,pl,tvor,-,-,ыми,двухсот
триста,kolich,-,-,im,-,-,а,трист
трёхсот,kolich,-,-,rod,-,-,-,трёхсот
трёмстам,kolich,-,-,dat,-,-,ам,трёмст
трёмястами,kolich,-,-,tvor,-,-,ами,трёмяст
трёхстах,kolich,-,-,predl,-,-,ах,трёхст
трёхсотый,poryad,m,s,im,-,-,ый,трёхсот
трёхсотого,poryad,-,s,rod,-,-,ого,трёхсот
трёхсотому,poryad,-,s,dat,-,-,ому,трёхсот
трёхсотым,poryad,-,-,tvor,-,-,ым,трёхсот
трёхсотом,poryad,-,s,predl,-,-,ом,трёхсот
трёхсотая,poryad,f,s,im,-,-,ая,трёхсот
трёхсотой,poryad,f,s,rod,-,-,ой,трёхсот
трёхсотую,poryad,f,s,vin,-,-,ую,трёхсот
трёхсотое,poryad,s,s,im,-,-,ое,трёхсот
трёхсотые,poryad,-,pl,im,-,-,ые,трёхсот
трёхсотых,poryad,-,pl,rod,-,-,ых,трёхсот
трёхсотыми,poryad,-,pl,tvor,-,-,ыми,трёхсот
четыреста,kolich,-,-,im,-,-,а,четырест
четырёхсот,kolich,-,-,rod,-,-,-,четырёхсот
четырёмстам,kolich,-,-,dat,-,-,ам,четырёмст
четырьмястами,kolich,-,-,tvor,-,-,ами,четырьмяст
четырёхстах,kolich,-,-,predl,-,-,ах,четырёхст
четырёхсотый,poryad,m,s,im,-,-,ый,четырёхсот
четырёхсотого,poryad,-,s,rod,-,-,ого,четырёхсот
четырёхсотому,poryad,-,s,dat,-,-,ому,четырёхсот
четырёхсотым,poryad,-,-,tvor,-,-,ым,четырёхсот
четырёхсотом,poryad,-,s,predl,-,-,ом,четырёхсот
четырёхсотая,poryad,f,s,im,-,-,ая,четырёхсот
четырёхсотой,poryad,f,s,rod,-,-,ой,четырёхсот
четырёхсотую,poryad,f,s,vin,-,-,ую,четырёхсот
четырёхсотое,poryad,s,s,im,-,-,ое,четырёхсот
четырёхсотые,poryad,-,pl,im,-,-,ые,четырёхсот
четырёхсотых,poryad,-,pl,rod,-,-,ых,четырёхсот
четырёхсотыми,poryad,-,pl,tvor,-,-,ыми,четырёхсот
пятьсот,kolich,-,-,im,-,-,-,пятьсот
пятисот,kolich,-,-,rod,-,-,-,пятисот
пятистам,kolich,-,-,dat,-,-,ам,пятист
пятьюстами,kolich,-,-,tvor,-,-,ами,пятьюст
пятистах,kolich,-,-,predl,-,-,ах,пятист
пятисотый,poryad,m,s,im,-,-,ый,пятисот
пятисотого,poryad,-,s,rod,-,-,ого,пятисот
пятисотому,poryad,-,s,dat,-,-,ому,пятисот
пятисотым,poryad,-,-,tvor,-,-,ым,пятисот
пятисотом,poryad,-,s,predl,-,-,ом,пятисот
пятисотая,poryad,f,s,im,-,-,ая,пятисот
пятисотой,poryad,f,s,rod,-,-,ой,пятисот
пятисотую,poryad,f,s,vin,-,-,ую,пятисот
пятисотое,poryad,s,s,im,-,-,ое,пятисот
пятисотые,poryad,-,pl,im,-,-,ые,пятисот
пятисотых,poryad,-,pl,rod,-,-,ых,пятисот
пятисотыми,poryad,-,pl,tvor,-,-,ыми,пятисот
шестьсот,kolich,-,-,im,-,-,-,шестьсот
шестисот,kolich,-,-,rod,-,-,-,шестисот
шестистам,kolich,-,-,dat,-,-,ам,шестист
шестьюстами,kolich,-,-,tvor,-,-,ами,шестьюст
шестистах,kolich,-,-,predl,-,-,ах,шестист
шестисотый,poryad,m,s,im,-,-,ый,шестисот
шестисотого,poryad,-,s,rod,-,-,ого,шестисот
шестисотому,poryad,-,s,dat,-,-,ому,шестисот
шестисотым,poryad,-,-,tvor,-,-,ым,шестисот
шестисотом,poryad,-,s,predl,-,-,ом,шестисот
шестисотая,poryad,f,s,im,-,-,ая,шестисот
шестисотой,poryad,f,s,rod,-,-,ой,шестисот
шестисотую,poryad,f,s,vin,-,-,ую,шестисот
шестисотое,poryad,s,s,im,-,-,ое,шестисот
шестисотые,poryad,-,pl,im,-,-,ые,шестисот
шестисотых,poryad,-,pl,rod,-,-,ых,шестисот
шестисотыми,poryad,-,pl,tvor,-,-,ыми,шестисот
семьсот,kolich,-,-,im,-,-,-,семьсот
семисот,kolich,-,-,rod,-,-,-,семисот
семистам,kolich,-,-,dat,-,-,ам,семист
семьюстами,kolich,-,-,tvor,-,-,ами,семьюст
семистах,kolich,-,-,predl,-,-,ах,семист
семисотый,poryad,m,s,im,-,-,ый,семисот
семисотого,poryad,-,s,rod,-,-,ого,семисот
семисотому,poryad,-,s,dat,-,-,ому,семисот
семисотым,poryad,-,-,tvor,-,-,ым,семисот
семисотом,poryad,-,s,predl,-,-,ом,семисот
семисотая,poryad,f,s,im,-,-,ая,семисот
семисотой,poryad,f,s,rod,-,-,ой,семисот
семисотую,poryad,f,s,vin,-,-,ую,семисот
семисотое,poryad,s,s,im,-,-,ое,семисот
семисотые,poryad,-,pl,im,-,-,ые,семисот
семисотых,poryad,-,pl,rod,-,-,ых,семисот
семисотыми,poryad,-,pl,tvor,-,-,ыми,семисот
восемьсот,kolich,-,-,im,-,-,-,восемьсот
восьмисот,kolich,-,-,rod,-,-,-,восемисот
восьмистам,kolich,-,-,dat,-,-,ам,восьмист
восемьюстами,kolich,-,-,tvor,-,-,ами,восемьюст
восьмьюстами,kolich,-,-,tvor,-,-,ами,восьмьюст
восьмистах,kolich,-,-,predl,-,-,ах,восьмист
восьмисотый,poryad,m,s,im,-,-,ый,восьмисот
восьмисотого,poryad,-,s,rod,-,-,ого,восьмисот
восьмисотому,poryad,-,s,dat,-,-,ому,восьмисот
восьмисотым,poryad,-,-,tvor,-,-,ым,восьмисот
восьмисотом,poryad,-,s,predl,-,-,ом,восьмисот
восьмисотая,poryad,f,s,im,-,-,ая,восьмисот
восьмисотой,poryad,f,s,rod,-,-,ой,восьмисот
восьмисотую,poryad,f,s,vin,-,-,ую,восьмисот
восьмисотое,poryad,s,s,im,-,-,ое,восьмисот
восьмисотые,poryad,-,pl,im,-,-,ые,восьмисот
восьмисотых,poryad,-,pl,rod,-,-,ых,восьмисот
восьмисотыми,poryad,-,pl,tvor,-,-,ыми,восьмисот
девятьсот,kolich,-,-,im,-,-,-,девятьсот
девятисот,kolich,-,-,rod,-,-,-,девятисот
девятистам,kolich,-,-,dat,-,-,ам,девятист
девятьюстами,kolich,-,-,tvor,-,-,ами,девятьюст
девятистах,kolich,-,-,predl,-,-,ах,девятист
девятисотый,poryad,m,s,im,-,-,ый,девятисот
девятисотого,poryad,-,s,rod,-,-,ого,девятисот
девятисотому,poryad,-,s,dat,-,-,ому,девятисот
девятисотым,poryad,-,-,tvor,-,-,ым,девятисот
девятисотом,poryad,-,s,predl,-,-,ом,девятисот
девятисотая,poryad,f,s,im,-,-,ая,девятисот
девятисотой,poryad,f,s,rod,-,-,ой,девятисот
девятисотую,poryad,f,s,vin,-,-,ую,девятисот
девятисотое,poryad,s,s,im,-,-,ое,девятисот
девятисотые,poryad,-,pl,im,-,-,ые,девятисот
девятисотых,poryad,-,pl,rod,-,-,ых,девятисот
девятисотыми,poryad,-,pl,tvor,-,-,ыми,девятисот
тысяча,kolich,f,s,im,-,-,а,тысяч
тысячи,kolich,-,-,rod,-,-,и,тысяч
тысяче,kolich,f,s,dat,-,-,е,тысяч
тысячу,kolich,f,s,vin,-,-,у,тысяч
тысячей,kolich,f,s,tvor,-,-,ей,тысяч
тысяч,kolich,-,pl,rod,-,-,-,тысяч
тысячам,kolich,-,pl,dat,-,-,ам,тысяч
тысячами,kolich,-,pl,tvor,-,-,ами,тысяч
тысячах,kolich,-,pl,predl,-,-,ах,тысяч
тысячный,poryad,m,s,im,н,-,ый,тысяч
тысячного,poryad,-,s,rod,н,-,ого,тысяч
тысячному,poryad,-,s,dat,н,-,ому,тысяч
тысячным,poryad,-,-,tvor,н,-,ым,тысяч
тысячном,poryad,-,s,predl,н,-,ом,тысяч
тысячная,poryad,f,s,im,н,-,ая,тысяч
тысячной,poryad,f,s,rod,н,-,ой,тысяч
тысячную,poryad,f,s,vin,н,-,ую,тысяч
тысячное,poryad,s,s,im,н,-,ое,тысяч
тысячные,poryad,-,pl,im,н,-,ые,тысяч
тысячных,poryad,-,pl,rod,н,-,ых,тысяч
тысячными,poryad,-,pl,tvor,н,-,ыми,тысяч
миллион,kolich,m,s,im,-,-,-,миллион
миллиона,kolich,m,s,rod,-,-,а,миллион
миллиону,kolich,m,s,dat,-,-,у,миллион
миллионом,kolich,m,s,tvor,-,-,ом,миллион
миллионе,kolich,m,s,predl,-,-,е,миллион
миллионы,kolich,-,pl,im,-,-,ы,миллион
миллионов,kolich,-,pl,rod,-,-,ов,миллион
миллионам,kolich,-,pl,dat,-,-,ам,миллион
миллионами,kolich,-,pl,tvor,-,-,ами,миллион
миллионах,kolich,-,pl,predl,-,-,ах,миллион
миллионный,poryad,m,s,im,н,-,ый,миллион
миллионного,poryad,-,s,rod,н,-,ого,миллион
миллионному,poryad,-,s,dat,н,-,ому,миллион
миллионным,poryad,-,-,tvor,н,-,ым,миллион
миллионном,poryad,-,s,predl,н,-,ом,миллион
миллионная,poryad,f,s,im,н,-,ая,миллион
миллионной,poryad,f,s,rod,н,-,ой,миллион
миллионную,poryad,f,s,vin,н,-,ую,миллион
миллионное,poryad,s,s,im,н,-,ое,миллион
миллионные,poryad,-,pl,im,н,-,ые,миллион
миллионных,poryad,-,pl,rod,н,-,ых,миллион
миллионными,poryad,-,pl,tvor,н,-,ыми,миллион
миллиард,kolich,m,s,im,-,-,-,миллиард
миллиарда,kolich,m,s,rod,-,-,а,миллиард
миллиарду,kolich,m,s,dat,-,-,у,миллиард
миллиардом,kolich,m,s,tvor,-,-,ом,миллиард
миллиарде,kolich,m,s,predl,-,-,е,миллиард
миллиарды,kolich,-,pl,im,-,-,ы,миллиард
миллиардов,kolich,-,pl,rod,-,-,ов,миллиард
миллиардам,kolich,-,pl,dat,-,-,ам,миллиард
миллиардами,kolich,-,pl,tvor,-,-,ами,миллиард
миллиардах,kolich,-,pl,predl,-,-,ах,миллиард
миллиардный,poryad,m,s,im,н,-,ый,миллиард
миллиардного,poryad,-,s,rod,н,-,ого,миллиард
миллиардному,poryad,-,s,dat,н,-,ому,миллиард
миллиардным,poryad,-,-,tvor,н,-,ым,миллиард
миллиардном,poryad,-,s,predl,н,-,ом,миллиард
миллиардная,poryad,f,s,im,н,-,ая,миллиард
миллиардной,poryad,f,s,rod,н,-,ой,миллиард
миллиардную,poryad,f,s,vin,н,-,ую,миллиард
миллиардное,poryad,s,s,im,н,-,ое,миллиард
миллиардные,poryad,-,pl,im,н,-,ые,миллиард
миллиардных,poryad,-,pl,rod,н,-,ых,миллиард
миллиардными,poryad,-,pl,tvor,н,-,ыми,миллиард
